rent_price,m2,Deposit,Type_of_building,room_number,Building_material,Year_of_construction,floor,windows,Number_of_floors,Heating,media,security,link_2,Additional_information,Equipment,location,latitude,longitude
4100.0,90.0,4500.0,apartamentowiec,3.0,cegła,,2.0,drewniane,6.0,miejskie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-wynajme-ID479WO,"balkon, piwnica, garaż/miejsce parkingowe, winda, taras","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Ptasia, Za Żelazną Bramą, Śródmieście Północne, Śródmieście, Warszawa, województwo mazowieckie, 00-136, Polska",52.2398228,21.0010388
1700.0,32.0,1700.0,kamienica,1.0,cegła,1957.0,2.0,plastikowe,3.0,miejskie,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",https://www.otodom.pl/pl/oferta/kawalerka-na-ul-lipska-16-ID4dnGW,"balkon, piwnica, garaż/miejsce parkingowe","zmywarka, lodówka, meble, kuchenka, pralka","Lipska, Saska Kępa, Praga-Południe, Warszawa, województwo mazowieckie, 03-903, Polska",52.2365228,21.0502266
2200.0,41.0,2000.0,blok,2.0,żelbet,,4.0,plastikowe,10.0,miejskie,"telewizja kablowa, internet",domofon / wideofon,https://www.otodom.pl/pl/oferta/dwupokowe-41-m2-bemowo-bezposrednio-ID4dnGM,"balkon, garaż/miejsce parkingowe, winda, oddzielna kuchnia","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,
2880.0,42.0,3000.0,apartamentowiec,2.0,,,,,,,,,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pok-z-balkonem-biznesowy-mokotow-ID4dvmp,"balkon, garaż/miejsce parkingowe, oddzielna kuchnia","zmywarka, meble, piekarnik, pralka","Taśmowa, Służewiec, Mokotów, Warszawa, województwo mazowieckie, 02-677, Polska",52.1777589,20.9889639
2200.0,42.0,2200.0,apartamentowiec,2.0,cegła,2013.0,,drewniane,3.0,miejskie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-w-wesolej-starej-milosnej-ID4dvjN,"balkon, winda, tylko dla niepalących","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","20, Mazowiecka, Stara Miłosna, Wesoła, Warszawa, województwo mazowieckie, 05-077, Polska",52.224549350000004,21.227686119490848
2300.0,38.44,,blok,2.0,,2015.0,6.0,plastikowe,7.0,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-38-m2-wola-ul-wawrzyszewska-ID4dvmk,"balkon, winda, oddzielna kuchnia","zmywarka, lodówka, meble, piekarnik","Wola, Warszawa, województwo mazowieckie, Polska",52.2362379,20.9547815
3250.0,57.0,,kamienica,3.0,cegła,1920.0,,,3.0,,,,https://www.otodom.pl/pl/oferta/klimatyczne-3pok-57m2-ogrodek-metro-ID4dvlS,,,"Stare Bielany, Jana Kasprowicza, Bielany I, Stare Bielany, Bielany, Warszawa, województwo mazowieckie, 01-836, Polska",52.2818172,20.9493596
3700.0,60.0,,apartamentowiec,2.0,,2013.0,2.0,,6.0,miejskie,,"domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/od-zaraz-przestronne-mieszkanie-w-ekoparku-ID4deCk,"balkon, garaż/miejsce parkingowe, winda, tylko dla niepalących",,"Jana Karola Chodkiewicza, Wyględów, Mokotów, Warszawa, województwo mazowieckie, 02-593, Polska",52.2030789,20.9960438
1800.0,42.0,2400.0,kamienica,2.0,cegła,1996.0,1.0,drewniane,2.0,miejskie,,"teren zamknięty, domofon / wideofon",https://www.otodom.pl/pl/oferta/bezposrednio-ciche-dwa-pokoje-metro-targowa-ID4bcPj,balkon,"lodówka, meble, piekarnik, kuchenka, pralka","Targowa, Stara Praga, Praga-Północ, Warszawa, województwo mazowieckie, 03-700, Polska",52.2539532,21.0352993
1850.0,20.0,1850.0,blok,1.0,,,4.0,,10.0,,internet,"drzwi / okna antywłamaniowe, domofon / wideofon",https://www.otodom.pl/pl/oferta/kawalerka-na-zolibrzu-oplaty-i-czynsz-w-cenie-ID412JR,"winda, tylko dla niepalących","lodówka, meble, kuchenka, telewizor, pralka","Władysława Broniewskiego, Sady V, Sady Żoliborskie, Żoliborz, Warszawa, województwo mazowieckie, 01-738, Polska",52.267933,20.9595117
